trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
128,18:11:00,18:11:00,70092,8,,0,0,28363.63117281,1
128,18:14:00,18:14:00,70102,9,,0,0,30512.62329786,1
128,18:17:00,18:17:00,70112,10,,0,0,31879.50093918,1
128,18:21:00,18:21:00,70122,11,,0,0,35212.82110523,1
128,18:24:00,18:24:00,70132,12,,0,0,37207.99317525,1
128,18:28:00,18:28:00,70142,13,,0,0,40700.61129692,1
128,18:34:00,18:34:00,70162,14,,0,0,46301.17800911,1
128,18:38:00,18:38:00,70172,15,,0,0,48312.56032380,1
128,18:41:00,18:41:00,70192,16,,0,0,50860.83022858,1
128,18:46:00,18:46:00,70202,17,,0,0,54800.51533953,1
128,18:50:00,18:50:00,70212,18,,0,0,57908.92961490,1
128,18:55:00,18:55:00,70222,19,,0,0,62221.44703504,1
128,19:03:00,19:03:00,70232,20,,0,0,65411.39080849,1
128,19:09:00,19:09:00,70242,21,,0,0,71301.07093998,1
128,19:17:00,19:17:00,70262,22,,0,0,75462.29656110,1
128,19:22:00,19:22:00,70272,23,,0,0,78352.91199656,1
130,18:41:00,18:41:00,70012,1,,0,0,0.00000000,1
130,18:46:00,18:46:00,70022,2,,0,0,2521.94934933,1
130,18:51:00,18:51:00,70032,3,,0,0,7940.93034485,1
130,18:58:00,18:58:00,70042,4,,0,0,14613.27361600,1
130,19:02:00,19:02:00,70052,5,,0,0,17657.01202032,1
130,19:06:00,19:06:00,70062,6,,0,0,21733.69455401,1
130,19:11:00,19:11:00,70082,7,,0,0,26054.12325917,1
130,19:15:00,19:15:00,70092,8,,0,0,28363.63117281,1
130,19:18:00,19:18:00,70102,9,,0,0,30512.62329786,1
130,19:21:00,19:21:00,70112,10,,0,0,31879.50093918,1
130,19:25:00,19:25:00,70122,11,,0,0,35212.82110523,1
130,19:28:00,19:28:00,70132,12,,0,0,37207.99317525,1
130,19:33:00,19:33:00,70142,13,,0,0,40700.61129692,1
130,19:38:00,19:38:00,70162,14,,0,0,46301.17800911,1
130,19:42:00,19:42:00,70172,15,,0,0,48312.56032380,1
130,19:46:00,19:46:00,70192,16,,0,0,50860.83022858,1
130,19:50:00,19:50:00,70202,17,,0,0,54800.51533953,1
130,19:54:00,19:54:00,70212,18,,0,0,57908.92961490,1
130,20:00:00,20:00:00,70222,19,,0,0,62221.44703504,1
130,20:04:00,20:04:00,70232,20,,0,0,65411.39080849,1
130,20:10:00,20:10:00,70242,21,,0,0,71301.07093998,1
130,20:17:00,20:17:00,70262,22,,0,0,75462.29656110,1
130,20:22:00,20:22:00,70272,23,,0,0,78352.91199656,1
132,19:36:00,19:36:00,70012,1,,0,0,0.00000000,1
132,19:41:00,19:41:00,70022,2,,0,0,2521.94934933,1
132,19:46:00,19:46:00,70032,3,,0,0,7940.93034485,1
132,19:53:00,19:53:00,70042,4,,0,0,14613.27361600,1
132,19:57:00,19:57:00,70052,5,,0,0,17657.01202032,1
132,20:01:00,20:01:00,70062,6,,0,0,21733.69455401,1
132,20:07:00,20:07:00,70082,7,,0,0,26054.12325917,1
132,20:10:00,20:10:00,70092,8,,0,0,28363.63117281,1
132,20:14:00,20:14:00,70102,9,,0,0,30512.62329786,1
132,20:17:00,20:17:00,70112,10,,0,0,31879.50093918,1
132,20:21:00,20:21:00,70122,11,,0,0,35212.82110523,1
132,20:25:00,20:25:00,70132,12,,0,0,37207.99317525,1
132,20:29:00,20:29:00,70142,13,,0,0,40700.61129692,1
132,20:36:00,20:36:00,70162,14,,0,0,46301.17800911,1
132,20:40:00,20:40:00,70172,15,,0,0,48312.56032380,1
132,20:44:00,20:44:00,70192,16,,0,0,50860.83022858,1
132,20:49:00,20:49:00,70202,17,,0,0,54800.51533953,1
132,20:55:00,20:55:00,70212,18,,0,0,57908.92961490,1
132,21:01:00,21:01:00,70222,19,,0,0,62221.44703504,1
132,21:06:00,21:06:00,70232,20,,0,0,65411.39080849,1
132,21:12:00,21:12:00,70242,21,,0,0,71301.07093998,1
