Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
23:39      Blue-N          West Dublin / Pleasanton                 24:36
23:59      Blue-N          West Dublin / Pleasanton                 24:56
24:21      Blue-N          West Dublin / Pleasanton                 25:17

Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
05:37      Blue-S          Daly City                                05:41
05:57      Blue-S          Daly City                                06:01
06:17      Blue-S          Daly City                                06:21
06:37      Blue-S          Daly City                                06:41
06:57      Blue-S          Daly City                                07:01
07:17      Blue-S          Daly City                                07:21
07:37      Blue-S          Daly City                                07:41
07:57      Blue-S          Daly City                                08:01
08:17      Blue-S          Daly City                                08:21
08:37      Blue-S          Daly City                                08:41
08:57      Blue-S          Daly City                                09:01
09:17      Blue-S          Daly City                                09:21
09:37      Blue-S          Daly City                                09:41
09:57      Blue-S          Daly City                                10:01
10:17      Blue-S          Daly City                                10:21
10:37      Blue-S          Daly City                                10:41
10:57      Blue-S          Daly City                                11:01
11:17      Blue-S          Daly City                                11:21
11:37      Blue-S          Daly City                                11:41
11:57      Blue-S          Daly City                                12:01
12:17      Blue-S          Daly City                                12:21
12:37      Blue-S          Daly City                                12:41
12:57      Blue-S          Daly City                                13:01
13:17      Blue-S          Daly City                                13:21
13:37      Blue-S          Daly City                                13:41
13:57      Blue-S          Daly City                                14:01
14:17      Blue-S          Daly City                                14:21
14:37      Blue-S          Daly City                                14:41
14:57      Blue-S          Daly City                                15:01
15:17      Blue-S          Daly City                                15:21
15:37      Blue-S          Daly City                                15:41
15:57      Blue-S          Daly City                                16:01
16:17      Blue-S          Daly City                                16:21
16:37      Blue-S          Daly City                                16:41
16:57      Blue-S          Daly City                                17:01
17:17      Blue-S          Daly City                                17:21
17:37      Blue-S          Daly City                                17:41
17:57      Blue-S          Daly City                                18:01
18:17      Blue-S          Daly City                                18:21
18:37      Blue-S          Daly City                                18:41
18:57      Blue-S          Daly City                                19:01
19:17      Blue-S          Daly City                                19:21
19:37      Blue-S          Daly City                                19:41
19:57      Blue-S          Daly City                                20:01
20:17      Blue-S          Daly City                                20:21
20:37      Blue-S          Daly City                                20:41
20:57      Blue-S          Daly City                                21:01
21:17      Blue-S          Daly City                                21:21
21:37      Blue-S          Daly City                                21:41
21:57      Blue-S          Daly City                                22:01
22:17      Blue-S          Daly City                                22:21
22:42      Blue-S          Daly City                                22:46
23:02      Blue-S          Daly City                                23:06
23:22      Blue-S          Daly City                                23:26
23:42      Blue-S          Daly City                                23:46
24:02      Blue-S          Daly City                                24:06
24:22      Blue-S          Daly City                                24:26
24:42      Blue-S          Daly City                                24:46
25:02      Blue-S          Daly City                                25:06

Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
04:59      Green-N         Berryessa / North San Jose               06:19
05:19      Green-N         Berryessa / North San Jose               06:39
05:39      Green-N         Berryessa / North San Jose               06:59
05:59      Green-N         Berryessa / North San Jose               07:19
06:19      Green-N         Berryessa / North San Jose               07:39
06:39      Green-N         Berryessa / North San Jose               07:59
06:59      Green-N         Berryessa / North San Jose               08:19
07:19      Green-N         Berryessa / North San Jose               08:39
07:39      Green-N         Berryessa / North San Jose               08:59
07:59      Green-N         Berryessa / North San Jose               09:19
08:19      Green-N         Berryessa / North San Jose               09:39
08:39      Green-N         Berryessa / North San Jose               09:59
08:59      Green-N         Berryessa / North San Jose               10:19
09:19      Green-N         Berryessa / North San Jose               10:39
09:39      Green-N         Berryessa / North San Jose               10:59
09:59      Green-N         Berryessa / North San Jose               11:19
10:19      Green-N         Berryessa / North San Jose               11:39
10:39      Green-N         Berryessa / North San Jose               11:59
10:59      Green-N         Berryessa / North San Jose               12:19
11:19      Green-N         Berryessa / North San Jose               12:39
11:39      Green-N         Berryessa / North San Jose               12:59
11:59      Green-N         Berryessa / North San Jose               13:19
12:19      Green-N         Berryessa / North San Jose               13:39
12:39      Green-N         Berryessa / North San Jose               13:59
12:59      Green-N         Berryessa / North San Jose               14:19
13:19      Green-N         Berryessa / North San Jose               14:39
13:39      Green-N         Berryessa / North San Jose               14:59
13:59      Green-N         Berryessa / North San Jose               15:19
14:19      Green-N         Berryessa / North San Jose               15:39
14:39      Green-N         Berryessa / North San Jose               15:59
14:59      Green-N         Berryessa / North San Jose               16:19
15:19      Green-N         Berryessa / North San Jose               16:39
15:39      Green-N         Berryessa / North San Jose               16:59
15:59      Green-N         Berryessa / North San Jose               17:19
16:19      Green-N         Berryessa / North San Jose               17:39
